2025-05-28 12:55:35 375061 |(3d08775eec07)| INFO    |[1  ]| ConfigurationHandler.ConfigManager | Initialize: Configuration data : {"AppSettings":{"ProductName":"TCommServer","Instance":"dev","CertThumb":"","DecryptKeyFile":"encrypt.key","Conn_TLS_TLS11_TLS12":"TLS12","SyncQueueServers":"localhost:50001,10.133.146.7:50001","EnableQueueSync":"false","MaxChatCallDurationInMinutes":"50","SslVersion":"Tls12","Log4NetConfigFile":"Log4Net.config","HealthCheckAddress":"http://localhost:2244/health/","IsDeveloperLicenseEnabled":true,"WebApiServicePort":"2245","IsHealthCheckRandomSuffixUsed":true,"AECEndpoint":null},"Listeners":[{"Type":"websocket","Port":"22556","User":"customer","IsSecure":"false","ClientName":null,"Cert":"","CertPassword":""},{"Type":"tcp","Port":"2324","User":"customer","IsSecure":"false","ClientName":null,"Cert":"","CertPassword":""},{"Type":"tcp","Port":"50000","User":"syncqueue","IsSecure":null,"ClientName":null,"Cert":null,"CertPassword":null},{"Type":"tcp","Port":"2334","User":"agent","IsSecure":"false","ClientName":null,"Cert":null,"CertPassword":null},{"Type":"websocket","Port":"11011","User":"monitor","IsSecure":null,"ClientName":null,"Cert":null,"CertPassword":null}],"SipConfigs":{"SipConfWsPort":"60601","SipConfProcessPath":""},"TSipConfigs":{"TSipCliStartPort":"3000","TSipCliEndPort":"3100"},"ChatHandlerConfigs":{"ChatHandlerDll":"SessionInfoHandler","ChatHandlerClass":"SessionInfoHandler.SelfServiceHandler"},"CidConfigs":{"RangeStart":"3000","RangeEnd":"3100"},"RConfigs":{"RConfigPort":"65500","RConfigAppName":"tchat"},"ServiceDiscovery":{"ServiceDiscoveryFrom":true,"ServiceDiscoveryAddressFrequency":"15000","ServiceDiscoveryExternalAudience":"TCOMM","ServiceTypeVDN":"VDN","ServiceTypePBX":"SIPTRUNK","Audience":[]},"AdditionalConfigs":{"IvrTempFile":"","FromDomain1":"","FromDomain2":"","ToDomain1":"","ToDomain2":"","SessionTimeout":"","ListnerPort":"","MediaServerRedirectTypes":"","MediaServerForwardTypes":"","CertificateFolder":"","KcinSOIUrl":"https://localhost:12345/Services/queryParty_v4_4_0"},"ThirdPartyPlugInConfigurations":{"DisallowedToPublishMessageTypes":[],"AllowedThirdPartyMessageTypes":{},"PlugInConfigurations":{},"PlugInDirectory":""},"MMMSettings":{"IsEnabled":false,"WebSocketEndpoint":"ws://127.0.0.1:22557"}}     
2025-05-28 12:55:35 375291 |(3d08775eec07)| INFO    |[1  ]| Program | InitializeConfigurations: Load application configuration : success     
2025-05-28 12:55:35 453983 |(3d08775eec07)| INFO    |[1  ]| RConfigProvider.ConfigStore | Reading config xml     
2025-05-28 12:55:35 455553 |(3d08775eec07)| INFO    |[1  ]| RConfigProvider.ConfigStore | Loading configs     
2025-05-28 12:55:35 463507 |(3d08775eec07)| INFO    |[1  ]| RConfigProvider.ConfigStore | Configs loaded, Spawning store thread     
2025-05-28 12:55:39 664917 |(3d08775eec07)| INFO    |[1  ]| TextchatServer.PBXInfo | PBXInfo() : siplibray = default     
2025-05-28 12:55:39 680300 |(3d08775eec07)| DEBUG   |[1  ]| TextchatServer.PBXInfo | AssignConfigItem: No records found from Service Discovery - Service Type : SIPTRUNK, Key : pbx1.addr     
2025-05-28 12:55:39 680470 |(3d08775eec07)| DEBUG   |[1  ]| TextchatServer.PBXInfo | AssignConfigItem: No records found from Service Discovery - Service Type : SIPTRUNK, Key : pbx1.port     
2025-05-28 12:55:39 680549 |(3d08775eec07)| DEBUG   |[1  ]| TextchatServer.PBXInfo | AssignConfigItem: No records found from Service Discovery - Service Type : SIPTRUNK, Key : pbx2.addr     
2025-05-28 12:55:39 680657 |(3d08775eec07)| DEBUG   |[1  ]| TextchatServer.PBXInfo | AssignConfigItem: No records found from Service Discovery - Service Type : SIPTRUNK, Key : pbx2.port     
