2025-05-29 05:13:31 155137 |(1224e7012eff)| INFO    |[1  ]| ConfigurationHandler.ConfigManager | Initialize: Configuration data : {"AppSettings":{"ProductName":"TCommServer","Instance":"dev","CertThumb":"","DecryptKeyFile":"encrypt.key","Conn_TLS_TLS11_TLS12":"TLS12","SyncQueueServers":"localhost:50001,10.133.146.7:50001","EnableQueueSync":"false","MaxChatCallDurationInMinutes":"50","SslVersion":"Tls12","Log4NetConfigFile":"Log4Net.config","HealthCheckAddress":"http://localhost:2244/health/","IsDeveloperLicenseEnabled":true,"WebApiServicePort":"2245","IsHealthCheckRandomSuffixUsed":true,"AECEndpoint":null},"Listeners":[{"Type":"websocket","Port":"22556","User":"customer","IsSecure":"false","ClientName":null,"Cert":"","CertPassword":""},{"Type":"tcp","Port":"2324","User":"customer","IsSecure":"false","ClientName":null,"Cert":"","CertPassword":""},{"Type":"tcp","Port":"50000","User":"syncqueue","IsSecure":null,"ClientName":null,"Cert":null,"CertPassword":null},{"Type":"tcp","Port":"2334","User":"agent","IsSecure":"false","ClientName":null,"Cert":null,"CertPassword":null},{"Type":"websocket","Port":"11011","User":"monitor","IsSecure":null,"ClientName":null,"Cert":null,"CertPassword":null}],"SipConfigs":{"SipConfWsPort":"60601","SipConfProcessPath":""},"TSipConfigs":{"TSipCliStartPort":"3000","TSipCliEndPort":"3100"},"ChatHandlerConfigs":{"ChatHandlerDll":"SessionInfoHandler","ChatHandlerClass":"SessionInfoHandler.SelfServiceHandler"},"CidConfigs":{"RangeStart":"3000","RangeEnd":"3100"},"RConfigs":{"RConfigPort":"65500","RConfigAppName":"tchat"},"ServiceDiscovery":{"ServiceDiscoveryFrom":true,"ServiceDiscoveryAddressFrequency":"15000","ServiceDiscoveryExternalAudience":"TCOMM","ServiceTypeVDN":"VDN","ServiceTypePBX":"SIPTRUNK","Audience":[]},"AdditionalConfigs":{"IvrTempFile":"","FromDomain1":"","FromDomain2":"","ToDomain1":"","ToDomain2":"","SessionTimeout":"","ListnerPort":"","MediaServerRedirectTypes":"","MediaServerForwardTypes":"","CertificateFolder":"","KcinSOIUrl":"https://localhost:12345/Services/queryParty_v4_4_0"},"ThirdPartyPlugInConfigurations":{"DisallowedToPublishMessageTypes":[],"AllowedThirdPartyMessageTypes":{},"PlugInConfigurations":{},"PlugInDirectory":""},"MMMSettings":{"IsEnabled":false,"WebSocketEndpoint":"ws://127.0.0.1:22557"}}     
2025-05-29 05:13:31 155830 |(1224e7012eff)| INFO    |[1  ]| Program | InitializeConfigurations: Load application configuration : success     
2025-05-29 05:13:31 158023 |(1224e7012eff)| INFO    |[1  ]| RConfigProvider.ConfigStore | Reading config xml     
2025-05-29 05:13:31 159840 |(1224e7012eff)| INFO    |[1  ]| RConfigProvider.ConfigStore | Loading configs     
2025-05-29 05:13:31 168374 |(1224e7012eff)| INFO    |[1  ]| RConfigProvider.ConfigStore | Configs loaded, Spawning store thread     
2025-05-29 05:13:35 377173 |(1224e7012eff)| INFO    |[1  ]| TextchatServer.PBXInfo | PBXInfo() : siplibray = default     
2025-05-29 05:13:35 391178 |(1224e7012eff)| DEBUG   |[1  ]| TextchatServer.PBXInfo | AssignConfigItem: No records found from Service Discovery - Service Type : SIPTRUNK, Key : pbx1.addr     
2025-05-29 05:13:35 391328 |(1224e7012eff)| DEBUG   |[1  ]| TextchatServer.PBXInfo | AssignConfigItem: No records found from Service Discovery - Service Type : SIPTRUNK, Key : pbx1.port     
2025-05-29 05:13:35 391399 |(1224e7012eff)| DEBUG   |[1  ]| TextchatServer.PBXInfo | AssignConfigItem: No records found from Service Discovery - Service Type : SIPTRUNK, Key : pbx2.addr     
2025-05-29 05:13:35 391456 |(1224e7012eff)| DEBUG   |[1  ]| TextchatServer.PBXInfo | AssignConfigItem: No records found from Service Discovery - Service Type : SIPTRUNK, Key : pbx2.port     
2025-05-29 05:13:35 391513 |(1224e7012eff)| DEBUG   |[1  ]| TextchatServer.PBXInfo | AssignConfigItem: No records found from Service Discovery - Service Type : SIPTRUNK, Key : pbx.vdn     
2025-05-29 05:13:35 393157 |(1224e7012eff)| DEBUG   |[1  ]| TextchatServer.PBXInfo | ValidatePBXInfo() : No records found for PBX Info     
2025-05-29 05:13:35 393551 |(1224e7012eff)| INFO    |[1  ]| TextchatServer.Starter | Start() : routepath = wq, supportmultiroutepath = false     
2025-05-29 05:13:35 415824 |(1224e7012eff)| DEBUG   |[1  ]| TextchatServer.LicenseManager | ValidateLicense: The application is running as a release mode     
2025-05-29 05:13:35 478618 |(1224e7012eff)| DEBUG   |[1  ]| ExternalServiceConnector.Handlers.ExternalServiceHandler | GetLicenseDetails: Fetching license details from service discovery     
2025-05-29 05:13:36 385774 |(1224e7012eff)| DEBUG   |[1  ]| ExternalServiceConnector.Handlers.ExternalServiceHandler | LoggedServiceDiscoveryAddress: LicenseServer Service Discovery Addresses, Method = GetLicenseDetails, {"ServiceDiscoveryEnabled":true,"RefreshFrequency":15000,"EndPoints":[{"Id":"LicenseServer1","Url":"http://172.16.2.140:17000/LicenseServer/soap","CertificatePath":null,"CertificatePassword":null,"Protocol":null,"MaxReceivedMessageSize":0,"MaxBufferPoolSize":0,"Type":"LicenseServer","Channel":null,"Name":"LicenseServer","Properties":null}]}     
2025-05-29 05:13:36 458784 |(1224e7012eff)| DEBUG   |[1  ]| ExternalServiceConnector.Handlers.ExternalServiceHandler | GetLicenseDetails: All TComm Server records: [{"AgentScripting":null,"AgentVideoPopComponents":null,"CampaignManager":null,"ContactDetails":"Pertamina","DialerComponents":null,"EmailManagerComponent":null,"HostIntegraton":null,"Hostname":"WIN-479TLUVR4UF","IPAdddress":"172.16.2.140","InteractionWorkflow":null,"LicenseDescription":"Valid License","LicenseKey":null,"LicenseStatus":true,"MacAdddress":"08:00:27:9D:EA:8D","MaxSessionAllowed":10,"MediaRecorderComponents":null,"MediaServerComponents":null,"MediaServerProxyComponents":null,"ServerLicenseIssueDateTime":"2024-11-27T11:41:27.5362177+00:00","ServerLicenseIssuedto":"Pertamina","ServiceStatus":"[]","TcommProxyComponents":null,"TcommServerComponents":{"Channels":[1,2],"MaxConcurrentSessionCount":10,"ExpiryDateTime":"2025-11-27T11:41:27.5362177+00:00","IssueDateTime":"2024-11-27T11:41:27.5362177+00:00","LicenseDescription":"Valid License","LicenseStatus":true,"NumbeofInstances":1,"ProductKey":null},"TmacComponent":null}]     
2025-05-29 05:13:36 460099 |(1224e7012eff)| DEBUG   |[1  ]| ExternalServiceConnector.Handlers.ExternalServiceHandler | GetLicenseDetails: Filtered minimum concurrent session count record: {"Channels":[1,2],"MaxConcurrentSessionCount":10,"ExpiryDateTime":"2025-11-27T11:41:27.5362177+00:00","IssueDateTime":"2024-11-27T11:41:27.5362177+00:00","LicenseDescription":"Valid License","LicenseStatus":true,"NumbeofInstances":1,"ProductKey":null}     
2025-05-29 05:13:36 460462 |(1224e7012eff)| INFO    |[1  ]| TextchatServer.LicenseManager | CheckServerLicense: Valid License found from license server     
2025-05-29 05:13:36 460769 |(1224e7012eff)| INFO    |[1  ]| TextchatServer.Server | Valid license found     
2025-05-29 05:13:36 461005 |(1224e7012eff)| DEBUG   |[1  ]| TextchatServer.Server | Product Version: 4.2.0.0     
2025-05-29 05:13:36 461130 |(1224e7012eff)| INFO    |[1  ]| TextchatServer.Server | MaxSessionLimitCount: 10     
2025-05-29 05:13:36 461231 |(1224e7012eff)| INFO    |[1  ]| TextchatServer.Server | Loading configs..     
2025-05-29 05:13:36 461322 |(1224e7012eff)| INFO    |[1  ]| TextchatServer.Server | configs: rconfig.*     
2025-05-29 05:13:36 466719 |(1224e7012eff)| INFO    |[1  ]| RConfigProvider.Listener | Config Url : http://+:65500/rconfig_tchat/     
2025-05-29 05:13:36 468396 |(1224e7012eff)| INFO    |[1  ]| TextchatServer.Server | configs: cert.thumb     
2025-05-29 05:13:36 468643 |(1224e7012eff)| INFO    |[1  ]| TextchatServer.Server | configs: rqdrop.limit     
2025-05-29 05:13:36 468923 |(1224e7012eff)| INFO    |[1  ]| TextchatServer.Server | configs: decrypt.enable     
2025-05-29 05:13:36 469231 |(1224e7012eff)| INFO    |[1  ]| TextchatServer.Server | = false     
2025-05-29 05:13:36 470281 |(1224e7012eff)| INFO    |[1  ]| TextchatServer.Server | configs: session.timeout     
2025-05-29 05:13:36 470369 |(1224e7012eff)| INFO    |[1  ]| TextchatServer.Server | = 60 sec.     
2025-05-29 05:13:36 470442 |(1224e7012eff)| INFO    |[1  ]| TextchatServer.Server | configs: testappsupport     
